SCORE: total_score         rms     cen_rms complex_normalized           dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_fa13  f_b-site f_combined-copy f_combined_buns-copy f_combined_buns2-copy f_contact-designable f_contact-designable_copy f_contact-hphobic_with_designable f_contact-hphobic_with_designable_copy                                 f_sasa                                 fa_atr                                 fa_dun                                fa_elec fa_intra_rep fa_intra_sol_xover4              fa_rep              fa_sol hbond_E_fraction hbond_bb_sc hbond_lr_bb    hbond_sc hbond_sr_bb hbonds_int lk_ball_wtd          m1          m2          m3          m4          m5          m6          m7    nres_all    nres_int       omega     p_aa_pp    packstat per_residue_energy_int pro_close rama_prepro         ref    sc_value side1_normalized side1_score side2_normalized side2_score     st_rmsd t1_timing_profile t2_timing_profile t3_timing_profile t4_timing_profile t5_timing_profile t6_timing_profile t7_timing_profile t8_timing_profile yhh_planarity description 
SCORE:   -1491.105      29.372      29.372             -3.043            -14.410             -1.639      -11.582                 -1.318       543.507   879.011     335.503             2.000     0.000 228571.594        -657.030                3.000                 0.000                0.000                     4.000                             0.000                                  5.000                                879.011                              -3088.988                                629.913                               -943.733        5.942             103.349             360.863            1859.049            0.098     -90.806     -54.055     -82.360    -261.737      1.000     -69.583       6.000       7.000    -658.125    -662.731    -646.734    -634.145    -657.030     490.000      40.000      44.952     -89.663       0.591                 -2.501     3.026      41.403     140.615       0.000           -2.287     -43.453           -2.695     -56.604      34.000          2000.367          2002.327          2004.559          2012.179          2018.741          2027.997          2032.082          2035.942         0.708 0.22.h_tag.vav-dh_2vrw_relaxed_0001456
SCORE:   -1496.016      14.346      14.346             -3.053            -40.700             -2.017      -27.022                 -1.339      1087.460  2018.116     930.655            13.000     0.000     0.000        -727.347                3.000                 8.000                7.000                     4.000                            13.000                                  7.000                               2018.116                              -3121.224                                626.680                               -959.219        5.826             107.604             375.890            1879.160            0.213     -89.207     -53.166     -93.388    -262.287      5.000     -62.883      10.000       9.000    -707.771    -721.881    -694.199    -705.415    -727.347     490.000      72.000      50.711     -89.191       0.528                 -2.498     3.187      52.333     132.722       0.000           -2.656    -116.855           -2.249     -62.977      14.000          2193.375          2195.383          2197.851          2206.201          2212.619          2232.575          2244.422          2256.431         0.437 0.22.h_tag.vav-dh_2vrw_relaxed_0001595
SCORE:   -1498.146       9.566       9.566             -3.057            -15.573             -1.915      -12.629                 -1.553       394.253   813.285     419.032             2.000     0.000 156831.125        -683.512                3.000                 2.000                0.000                     5.000                             0.000                                  8.000                                813.285                              -3118.968                                617.551                               -941.271        5.793             103.855             365.595            1883.050            0.230     -81.752     -52.512     -82.622    -262.363      3.000     -70.479      11.000       9.000    -662.890    -683.524    -664.834    -703.106    -683.512     490.000      39.000      46.042     -89.275       0.530                 -3.387     3.186      50.439     124.616       0.000           -3.309     -62.863           -3.462     -69.240       0.000            92.426            92.838            93.265           103.118           112.548           120.480           124.606           128.626         0.969 0.22.h_tag.vav-dh_2vrw_relaxed_0000219
SCORE:   -1499.900      12.894      12.894             -3.061            -48.793             -2.500      -42.583                 -2.182      1277.183  1951.909     674.726            10.000     0.000     0.000        -866.294                8.000                 6.000               10.000                     4.000                            15.000                                  4.000                               1951.909                              -3105.929                                610.477                               -925.481        5.850             104.346             375.731            1843.452            0.133     -81.984     -49.208     -92.161    -267.499      6.000     -68.278       9.000       5.000    -645.460    -677.784    -691.266    -852.948    -866.294     490.000      75.000      45.963     -89.345       0.600                 -2.396     3.724      46.943     143.020       0.000           -2.667    -101.359           -2.117     -78.336       0.000           754.245           755.524           756.572           765.791           772.994           799.321           814.470           830.268         0.476 0.22.h_tag.vav-dh_2vrw_relaxed_0000939
SCORE:   -1500.225       9.059       9.059             -3.062            -25.911             -1.912       -7.167                 -0.529       746.260  1355.199     608.940             5.000     0.000     0.000        -575.205                1.000                 3.000                0.000                     4.000                             0.000                                  4.000                               1355.199                              -3114.256                                631.170                               -954.414        5.938             109.980             367.161            1889.847            0.976     -83.392     -52.942     -97.579    -264.014      7.000     -67.790      11.000       5.000    -638.780    -677.088    -533.299    -577.085    -575.205     490.000      58.000      45.686     -89.528       0.549                 -2.526     3.048      50.933     119.115       0.000           -2.556     -92.004           -2.479     -54.532       9.000            15.126            15.417            15.648            23.234            29.598            41.511            46.743            51.961         0.813 0.22.h_tag.vav-dh_2vrw_relaxed_0000082
SCORE:   -1505.227      12.256      12.256             -3.072            -18.791             -1.675      -10.973                 -0.978       673.420  1121.495     448.075             7.000     0.000     0.000        -630.833                3.000                 2.000                0.000                    14.000                             0.000                                 22.000                               1121.495                              -3101.102                                624.112                               -945.470        6.017             105.416             369.666            1859.102            0.457     -88.921     -53.603     -95.524    -261.621      5.000     -66.314      12.000      23.000    -808.379    -825.971    -621.614    -608.765    -630.833     490.000      56.000      46.041     -89.236       0.624                 -2.829     3.007      47.851     134.297       0.000           -2.638     -65.942           -2.983     -92.462       0.000           387.039           387.824           388.721           408.392           427.709           436.420           440.951           445.429         1.055 0.22.h_tag.vav-dh_2vrw_relaxed_0000552
SCORE:   -1506.040      16.008      16.008             -3.074            -34.491             -2.211      -31.855                 -2.042       970.439  1559.754     589.315             6.000     0.000     0.000        -810.249                4.000                 2.000                2.000                     8.000                             3.000                                 12.000                               1559.754                              -3088.827                                612.009                               -947.810        5.851             105.612             364.513            1866.300            0.117     -89.019     -54.705     -88.233    -267.097      3.000     -71.086       8.000      13.000    -692.061    -769.634    -683.648    -806.191    -810.249     490.000      59.000      45.744     -88.697       0.551                 -2.395     2.667      49.660     136.215       0.000           -2.794     -75.435           -2.059     -65.895      14.000          2163.501          2165.528          2167.873          2180.781          2192.431          2205.854          2211.024          2215.915         0.864 0.22.h_tag.vav-dh_2vrw_relaxed_0001626
SCORE:   -1507.878       7.428       7.428             -3.077            -37.178             -2.083      -25.747                 -1.443       836.565  1784.727     948.162            13.000     0.000     0.000        -734.411                4.000                 6.000                1.000                     6.000                             2.000                                  8.000                               1784.727                              -3133.396                                622.816                               -952.759        5.849             105.599             379.954            1880.948            0.406     -90.188     -51.531     -93.731    -261.362      8.000     -62.484      13.000      10.000    -694.088    -765.468    -630.246    -714.369    -734.411     490.000      73.000      47.047     -89.361       0.547                 -2.528     3.563      50.128     130.136       0.000           -2.506     -92.704           -2.551     -91.842       3.000           270.317           271.316           272.399           286.045           298.011           309.867           317.158           323.776         0.894 0.22.h_tag.vav-dh_2vrw_relaxed_0000515
SCORE:   -1508.155      10.356      10.356             -3.078            -15.089             -2.544       -5.893                 -0.994       305.471   593.117     287.646             2.000     0.000     0.000        -611.053                5.000                 0.000                0.000                     6.000                             0.000                                  7.000                                593.117                              -3114.917                                613.461                               -933.255        5.802             101.455             366.508            1879.652            0.955     -96.190     -52.921     -77.586    -262.608      4.000     -74.374      12.000       7.000    -765.623    -775.199    -578.853    -615.167    -611.053     490.000      29.000      42.690     -88.175       0.690                 -2.738     2.885      50.294     128.295       0.000           -2.664     -37.301           -2.806     -42.094       3.000          2958.894          2961.488          2964.468          2974.290          2982.656          2991.657          2995.270          2998.674         0.829 0.22.h_tag.vav-dh_2vrw_relaxed_0001962
SCORE:   -1508.865       8.879       8.879             -3.079            -53.775             -2.925      -45.862                 -2.495      1004.931  1838.388     833.457            14.000     0.000 19964.016        -909.577                6.000                 3.000                0.000                     8.000                             0.000                                 12.000                               1838.388                              -3094.215                                624.159                               -953.629        5.824             106.224             368.253            1875.311            0.248     -91.110     -50.548    -103.906    -259.704      8.000     -67.030      10.000      12.000    -745.211    -780.669    -769.899    -893.446    -909.577     490.000      66.000      42.119     -89.312       0.536                 -2.060     3.314      50.843     123.598       0.000           -1.816     -54.490           -2.264     -81.500       4.000          2944.765          2947.634          2950.684          2970.893          2989.195          3001.500          3006.702          3011.931         0.945 0.22.h_tag.vav-dh_2vrw_relaxed_0001886
SCORE:   -1509.045       4.436       4.436             -3.080            -41.739             -2.001      -36.299                 -1.740      1125.557  2085.664     960.107             7.000     0.000  9801.394        -805.347                2.000                 2.000                6.000                     8.000                             8.000                                 15.000                               2085.664                              -3104.071                                596.042                               -927.047        5.723             102.414             363.811            1852.068            0.182     -84.830     -49.453     -79.340    -261.322      6.000     -72.530      17.000      18.000    -792.612    -794.422    -731.791    -796.687    -805.347     490.000      73.000      42.174     -90.378       0.587                 -2.821     3.327      40.520     153.217       0.000           -3.283    -114.915           -2.396     -91.047       2.000          1268.833          1270.950          1272.999          1287.608          1302.028          1319.282          1330.539          1341.637         0.627 0.22.h_tag.vav-dh_2vrw_relaxed_0001277
SCORE:   -1512.767      11.709      11.709             -3.087            -25.160             -1.418      -16.975                 -0.957       895.791  1774.099     878.307            13.000     0.000     0.000        -657.551                4.000                 3.000                2.000                     2.000                             3.000                                  2.000                               1774.099                              -3107.083                                621.975                               -948.327        5.771             103.304             367.267            1875.034            0.285     -88.772     -54.211     -92.377    -260.060      4.000     -67.153       7.000       3.000    -568.948    -579.162    -490.894    -651.664    -657.551     490.000      63.000      45.783     -88.608       0.513                 -2.496     2.919      43.526     127.797       0.000           -2.067     -59.955           -2.862     -97.294       5.000           659.897           661.371           662.842           671.106           678.133           691.677           698.197           704.868         0.448 0.22.h_tag.vav-dh_2vrw_relaxed_0000813
SCORE:   -1513.569      13.494      13.494             -3.089            -18.784             -2.108      -18.078                 -2.029       605.032   891.119     286.086             0.000     0.000 231571.875        -751.911                5.000                 2.000               10.000                     6.000                            11.000                                  8.000                                891.119                              -3131.717                                617.942                               -926.151        5.805             101.634             371.215            1851.505            0.058     -87.473     -53.173     -82.562    -264.666      1.000     -68.101      19.000       9.000    -712.676    -767.453    -683.199    -751.666    -751.911     490.000      32.000      42.272     -91.422       0.609                 -2.622     3.411      53.565     143.579       0.000           -3.051     -45.760           -2.244     -38.151      16.000          1992.720          1994.913          1997.705          2010.216          2020.183          2039.389          2051.740          2062.576         0.770 0.22.h_tag.vav-dh_2vrw_relaxed_0001531
SCORE:   -1514.314       7.661       7.661             -3.090            -13.771             -1.798       -9.630                 -1.257       412.287   765.828     353.540             4.000     0.000     0.000        -651.293                7.000                 3.000                0.000                     5.000                             0.000                                  7.000                                765.828                              -3111.851                                626.039                               -944.324        5.797             105.818             365.268            1875.892            0.678     -93.623     -53.097     -92.830    -260.845      4.000     -68.625      13.000       7.000    -781.017    -803.893    -530.443    -653.223    -651.293     490.000      40.000      45.186     -87.282       0.471                 -2.815     2.845      50.214     120.155       0.000           -2.812     -53.422           -2.818     -59.176       0.000          1088.758          1090.524          1091.925          1102.089          1110.053          1119.752          1123.986          1127.758         0.952 0.22.h_tag.vav-dh_2vrw_relaxed_0001067
SCORE:   -1515.252      16.845      16.845             -3.092            -41.506             -1.841      -30.875                 -1.369      1136.307  2255.038    1118.731             3.000     0.000     0.000        -752.973                2.000                 3.000                4.000                     9.000                             8.000                                 13.000                               2255.038                              -3120.898                                612.813                               -961.751        5.819             104.460             366.629            1885.714            0.324     -87.700     -51.976     -82.976    -261.919      9.000     -69.078       8.000      17.000    -827.402    -830.565    -652.860    -729.180    -752.973     490.000      84.000      42.948     -88.735       0.513                 -2.602     3.197      49.925     137.803       0.000           -2.489    -109.521           -2.727    -109.069      18.000          2052.708          2055.053          2056.622          2069.268          2079.095          2093.351          2102.149          2111.688         0.473 0.22.h_tag.vav-dh_2vrw_relaxed_0001579
SCORE:   -1516.524       7.804       7.804             -3.095            -11.098             -2.323       -8.299                 -1.737       255.804   477.686     221.882             0.000     0.000     0.000        -686.256                4.000                 0.000                0.000                     4.000                             0.000                                  7.000                                477.686                              -3101.069                                632.458                               -947.152        5.897             106.816             358.904            1866.399            0.243     -90.778     -52.641     -86.080    -264.305      2.000     -69.307       6.000       8.000    -696.321    -739.868    -596.479    -666.627    -686.256     490.000      20.000      42.062     -87.357       0.519                 -2.690     2.914      49.202     116.726       0.000           -2.434     -19.474           -2.861     -34.330       5.000          3546.498          3548.993          3551.367          3561.365          3569.452          3576.680          3580.511          3584.279         0.786 0.22.h_tag.vav-dh_2vrw_relaxed_0002071
SCORE:   -1517.658       5.219       5.219             -3.097            -20.304             -1.751      -16.644                 -1.436       563.648  1159.300     595.652            13.000     0.000     0.000        -697.657                2.000                 3.000                0.000                    10.000                             0.000                                 15.000                               1159.300                              -3100.570                                617.578                               -945.812        5.857             105.644             368.587            1860.146            0.546     -87.321     -52.798     -97.695    -262.329      6.000     -67.224       3.000      16.000    -782.751    -788.297    -657.981    -678.453    -697.657     490.000      53.000      40.642     -91.605       0.648                 -2.687     2.681      48.325     137.358       0.000           -2.667     -72.020           -2.708     -70.400       1.000           686.817           687.801           688.770           705.155           720.611           731.990           736.706           741.301         0.877 0.22.h_tag.vav-dh_2vrw_relaxed_0000699
SCORE:   -1517.980       9.462       9.462             -3.098            -16.231             -1.957      -11.152                 -1.345       474.802   829.203     354.401             1.000     0.000     0.000        -666.400                3.000                 2.000                1.000                     9.000                             1.000                                 10.000                                829.203                              -3099.592                                615.965                               -937.560        5.828             104.946             361.790            1866.872            0.426     -87.894     -53.981     -95.850    -261.950      4.000     -66.459      11.000      12.000    -762.725    -803.742    -603.701    -668.742    -666.400     490.000      38.000      43.528     -87.863       0.563                 -2.791     3.085      45.872     124.326       0.000           -2.678     -56.230           -2.931     -49.831       6.000           302.464           303.220           303.895           316.871           328.756           334.919           338.683           342.480         0.958 0.22.h_tag.vav-dh_2vrw_relaxed_0000568
SCORE:   -1518.366      12.246      12.246             -3.099            -33.421             -2.633      -25.097                 -1.977       627.855  1269.549     641.694             1.000     0.000     0.000        -779.612                3.000                 1.000                7.000                     1.000                             8.000                                  1.000                               1269.549                              -3104.755                                619.886                               -949.598        5.894             105.479             367.835            1848.439            0.322     -86.943     -53.478     -85.617    -263.638      9.000     -67.801       6.000       1.000    -495.958    -616.973    -728.696    -740.230    -779.612     490.000      50.000      47.515     -90.209       0.623                 -2.948     3.155      42.378     142.256       0.000           -2.764     -69.105           -3.131     -78.287       4.000          1010.559          1012.385          1014.267          1021.935          1027.876          1041.676          1047.831          1055.179         0.835 0.22.h_tag.vav-dh_2vrw_relaxed_0001080
SCORE:   -1518.453       5.589       5.589             -3.099            -36.632             -2.348      -34.619                 -2.219       859.857  1560.123     700.267            16.000     0.000     0.000        -841.084                0.000                 4.000                6.000                     7.000                            11.000                                  8.000                               1560.123                              -3139.895                                623.105                               -943.622        5.953             105.006             374.674            1884.278            0.153     -89.568     -51.920     -87.740    -261.797      5.000     -68.113       7.000       9.000    -759.707    -918.607    -787.748    -807.457    -841.084     490.000      64.000      47.139     -90.831       0.551                 -3.201     3.397      38.904     131.984       0.000           -3.076    -123.024           -3.410     -81.841       4.000          1253.491          1255.342          1257.400          1265.307          1271.466          1291.386          1301.913          1312.475         0.594 0.22.h_tag.vav-dh_2vrw_relaxed_0001231
SCORE:   -1518.678      26.569      26.569             -3.099            -24.890             -2.020      -19.388                 -1.573       693.764  1232.273     538.509             4.000     0.000   786.768        -721.348                4.000                 3.000                5.000                     8.000                             8.000                                 10.000                               1232.273                              -3109.825                                615.687                               -938.059        5.778             103.300             363.491            1858.317            0.257     -83.449     -52.799     -94.181    -262.975      4.000     -68.154      14.000      11.000    -878.218    -864.570    -666.417    -693.038    -721.348     490.000      51.000      44.392     -87.687       0.573                 -2.331     3.130      47.005     136.298       0.000           -2.548     -76.429           -2.022     -42.462      25.000             4.910             5.088             5.300            19.256            31.055            46.425            54.321            61.269         1.053 0.22.h_tag.vav-dh_2vrw_relaxed_0000038
SCORE:   -1519.202       5.601       5.601             -3.100            -34.370             -2.330      -27.234                 -1.846       892.902  1475.041     582.139             8.000     0.000     0.000        -778.278                9.000                 7.000                4.000                    11.000                             4.000                                 12.000                               1475.041                              -3124.322                                626.064                               -951.402        5.898             105.106             370.221            1868.282            0.252     -84.109     -54.260     -92.957    -263.842      6.000     -72.127       9.000      12.000    -757.743    -788.248    -747.667    -750.851    -778.278     490.000      50.000      47.293     -88.644       0.639                 -2.943     3.522      50.152     134.535       0.000           -2.782     -58.422           -3.060     -88.738       4.000           578.472           579.507           580.337           597.986           614.294           627.450           635.351           643.155         1.388 0.22.h_tag.vav-dh_2vrw_relaxed_0000825
SCORE:   -1519.361       7.273       7.273             -3.101             -8.399             -1.890       -8.321                 -1.872       245.761   444.509     198.747             2.000     0.000 335259.375        -698.509                5.000                 1.000                0.000                     1.000                             0.000                                  2.000                                444.509                              -3107.894                                609.924                               -947.140        5.805             105.645             375.765            1862.484            0.330     -82.744     -52.232     -93.194    -262.487      2.000     -66.912      10.000       2.000    -791.873    -781.638    -577.105    -593.459    -698.509     490.000      27.000      41.424     -87.564       0.571                 -2.725     2.994      49.930     125.970       0.000           -2.410     -26.507           -2.942     -47.072       1.000          2680.486          2683.601          2687.849          2694.520          2699.466          2705.385          2708.226          2711.314         0.865 0.22.h_tag.vav-dh_2vrw_relaxed_0001760
SCORE:   -1520.247      14.887      14.887             -3.103            -13.442             -1.489       -8.567                 -0.949       420.009   902.618     482.609             7.000     0.000 400756.500        -622.969                3.000                 2.000                0.000                     2.000                             0.000                                  3.000                                902.618                              -3111.969                                602.099                               -944.667        5.747             104.345             373.923            1877.229            0.584     -89.905     -52.321     -88.246    -261.989      4.000     -69.975      16.000       3.000    -668.464    -679.601    -515.355    -581.381    -622.969     490.000      33.000      44.233     -88.152       0.553                 -2.279     2.778      51.235     124.528       0.000           -2.154     -40.923           -2.448     -34.274      16.000           156.210           156.453           156.720           163.031           168.713           174.089           177.683           181.042         0.858 0.22.h_tag.vav-dh_2vrw_relaxed_0000087
SCORE:   -1521.606      10.719      10.719             -3.105            -37.348             -2.195      -27.254                 -1.602       707.427  1701.407     993.981             7.000     0.000     0.000        -758.787                3.000                 2.000                1.000                     2.000                             2.000                                  5.000                               1701.407                              -3093.089                                621.085                               -965.675        5.756             106.337             358.246            1896.218            0.525     -84.354     -51.299    -101.795    -268.524     10.000     -68.021      16.000       7.000    -775.682    -777.444    -613.889    -709.970    -758.787     490.000      58.000      46.098     -90.102       0.602                 -2.651     3.230      48.501     114.953       0.000           -2.912     -81.538           -2.407     -72.209      14.000           224.552           225.378           226.308           234.727           240.931           252.768           259.558           265.682         0.828 0.22.h_tag.vav-dh_2vrw_relaxed_0000502
SCORE:   -1521.722       8.990       8.990             -3.106            -44.267             -2.523      -36.530                 -2.082      1085.933  1754.763     668.830             7.000     0.000 1067986.750        -839.014                3.000                 1.000                0.000                     9.000                             0.000                                 15.000                               1754.763                              -3125.835                                618.107                               -939.751        5.850             105.945             367.787            1858.564            0.157     -88.136     -49.700     -90.729    -261.354      4.000     -68.799       4.000      17.000    -812.589    -839.816    -755.356    -841.893    -839.014     490.000      62.000      44.577     -88.504       0.610                 -2.891     2.903      53.357     133.235       0.000           -2.688     -61.814           -3.011    -117.434      11.000          2314.985          2317.662          2319.818          2337.674          2352.988          2365.844          2371.185          2376.110         0.760 0.22.h_tag.vav-dh_2vrw_relaxed_0001654
SCORE:   -1521.777       7.052       7.052             -3.106            -23.026             -2.041      -15.769                 -1.398       597.964  1128.279     530.315             3.000     0.000     0.000        -692.054                2.000                 1.000                0.000                     1.000                             0.000                                  1.000                               1128.279                              -3105.564                                618.084                               -942.201        5.830             105.536             363.313            1867.227            0.241     -88.470     -52.918     -92.287    -263.162      3.000     -70.713       7.000       1.000    -569.508    -635.484    -626.618    -673.452    -692.054     490.000      54.000      42.299     -88.283       0.638                 -3.000     2.947      49.784     125.970       0.000           -2.638     -58.035           -3.249    -103.963       4.000          3025.934          3028.649          3031.398          3038.172          3044.128          3053.543          3058.338          3063.451         0.829 0.22.h_tag.vav-dh_2vrw_relaxed_0001785
SCORE:   -1522.401       8.434       8.434             -3.107             -9.294             -1.993       -7.310                 -1.568       250.947   466.336     215.389             1.000     0.000     0.000        -669.773                5.000                 1.000                0.000                     1.000                             0.000                                  1.000                                466.336                              -3113.471                                624.396                               -946.914        5.787             105.525             362.219            1871.560            0.348     -89.690     -53.596     -91.382    -262.884      2.000     -68.080       6.000       1.000    -681.764    -694.043    -606.516    -665.877    -669.773     490.000      27.000      43.149     -87.578       0.567                 -2.967     2.854      48.850     125.970       0.000           -2.517     -27.686           -3.277     -52.428       2.000          2265.582          2268.459          2271.511          2279.419          2285.972          2293.396          2297.005          2300.510         0.883 0.22.h_tag.vav-dh_2vrw_relaxed_0001597
SCORE:   -1522.553       8.219       8.219             -3.107            -19.746             -1.948      -16.889                 -1.666       580.035  1013.470     433.436             6.000     0.000 375640.438        -719.576                1.000                 6.000                0.000                     9.000                             0.000                                 13.000                               1013.470                              -3128.515                                616.262                               -934.337        5.879             104.142             360.324            1866.149            0.161     -94.995     -53.078     -80.681    -264.016      2.000     -71.347      17.000      17.000    -807.928    -829.528    -572.229    -711.993    -719.576     490.000      48.000      43.882     -86.397       0.570                 -2.933     2.846      44.635     146.092       0.000           -2.766     -71.905           -3.131     -68.874       7.000            94.569            95.109            95.574           111.718           125.178           133.666           137.743           142.330         0.601 0.22.h_tag.vav-dh_2vrw_relaxed_0000288
SCORE:   -1522.678       9.043       9.043             -3.108            -16.622             -1.927      -11.987                 -1.389       529.097   862.794     333.697             2.000     0.000     0.000        -675.284                4.000                 1.000                0.000                     9.000                             0.000                                 12.000                                862.794                              -3119.482                                613.228                               -931.467        5.890             104.334             368.532            1846.711            0.126     -84.832     -53.235     -81.837    -263.863      3.000     -69.399       8.000      14.000    -834.693    -887.807    -569.524    -631.830    -675.284     490.000      44.000      43.694     -88.343       0.558                 -2.979     2.664      41.858     141.804       0.000           -2.162     -38.919           -3.544     -92.151      12.000           475.342           476.361           477.458           495.671           510.879           517.795           522.340           526.690         1.064 0.22.h_tag.vav-dh_2vrw_relaxed_0000708
SCORE:   -1522.710       4.898       4.898             -3.108            -40.356             -2.116      -27.084                 -1.420       982.959  1907.468     924.509             7.000     0.000 17878.676        -743.262                2.000                 3.000                2.000                     1.000                             2.000                                  2.000                               1907.468                              -3129.539                                618.501                               -956.073        5.744             106.787             369.297            1887.649            0.482     -88.239     -52.548     -93.118    -260.341     11.000     -69.833       6.000       2.000    -689.062    -720.711    -674.034    -742.332    -743.262     490.000      79.000      43.709     -87.323       0.634                 -2.599     3.381      51.849     126.524       0.000           -2.274     -84.126           -2.886    -121.221       5.000             0.512             0.684             0.856             8.277            14.563            27.200            33.283            39.111         0.862 0.22.h_tag.vav-dh_2vrw_relaxed_0000005
SCORE:   -1523.727       9.550       9.550             -3.110             -3.112             -2.852       -2.436                 -2.232        63.025   109.122      46.097             0.000     0.000 410290.562        -704.485                4.000                 0.000                1.000                     3.000                             1.000                                  3.000                                109.122                              -3108.789                                616.297                               -945.419        5.731             104.568             361.251            1869.239            0.568     -85.737     -52.490     -85.893    -264.468      1.000     -70.270      16.000       3.000    -654.296    -690.015    -618.656    -698.676    -704.485     490.000      10.000      44.026     -89.747       0.447                 -2.255     3.158      49.156     124.788       0.000           -3.014     -18.083           -1.116      -4.463      11.000           920.998           922.259           923.343           932.232           938.713           943.175           946.186           949.237         0.871 0.22.h_tag.vav-dh_2vrw_relaxed_0000935
SCORE:   -1524.626       5.655       5.655             -3.111            -11.285             -1.324      -10.402                 -1.220       420.623   852.315     431.692             4.000     0.000     0.000        -654.994                4.000                 1.000                0.000                    12.000                             0.000                                 14.000                                852.315                              -3105.700                                620.169                               -954.761        5.938             105.309             362.470            1880.311            0.147     -87.775     -54.416     -95.128    -262.044      1.000     -68.344      15.000      17.000    -758.135    -793.108    -642.103    -625.384    -654.994     490.000      41.000      40.386     -90.022       0.567                 -2.846     3.084      45.604     129.446       0.000           -2.981     -62.603           -2.705     -54.101       5.000          3685.745          3688.390          3691.054          3709.123          3726.553          3735.643          3739.804          3744.039         0.848 0.22.h_tag.vav-dh_2vrw_relaxed_0002116
SCORE:   -1524.752       6.596       6.596             -3.112             -9.473             -1.806       -9.176                 -1.750       255.025   524.482     269.457             0.000     0.000 109329.172        -693.816                3.000                 0.000                0.000                     6.000                             0.000                                 10.000                                524.482                              -3111.280                                620.757                               -958.063        5.812             104.704             362.440            1876.793            0.169     -88.100     -52.442     -94.311    -264.315      2.000     -66.559      12.000      13.000    -727.978    -753.995    -676.035    -681.032    -693.816     490.000      23.000      44.606     -88.084       0.576                 -3.252     3.225      52.120     126.833       0.000           -1.857     -14.857           -3.995     -59.932       4.000          2705.366          2708.413          2711.494          2725.123          2735.938          2744.447          2748.450          2751.611         1.113 0.22.h_tag.vav-dh_2vrw_relaxed_0001819
SCORE:   -1525.395      10.850      10.850             -3.113            -14.441             -2.311      -11.588                 -1.854       262.706   624.875     362.169             2.000     0.000 97977.711        -713.209                8.000                 1.000                0.000                     2.000                             0.000                                  3.000                                624.875                              -3127.819                                618.840                               -951.476        5.796             103.857             371.671            1882.667            0.488     -87.146     -53.764     -92.616    -263.339      6.000     -70.232      16.000       3.000    -685.183    -735.490    -655.055    -694.163    -713.209     490.000      23.000      43.833     -88.873       0.609                 -2.915     3.190      53.499     125.831       0.000           -3.017     -30.175           -2.836     -36.870       2.000           475.734           476.600           477.512           486.158           492.102           497.149           500.772           504.105         0.687 0.22.h_tag.vav-dh_2vrw_relaxed_0000618
SCORE:   -1525.778      10.777      10.777             -3.114             -0.899             -0.746       -0.893                 -0.741        66.524   120.487      53.963             0.000     0.000  3068.536        -574.201                7.000                 0.000                1.000                     4.000                             1.000                                  9.000                                120.487                              -3091.867                                608.874                               -940.154        5.771             103.742             357.316            1848.520           -0.000     -84.000     -52.498     -86.323    -262.378      0.000     -70.426      12.000      12.000    -886.373    -943.578    -556.525    -553.804    -574.201     490.000       4.000      41.264     -88.163       0.491                 -2.789     3.041      50.618     129.972       0.000           -2.467      -7.400           -3.755      -3.755       9.000          2250.223          2252.824          2255.847          2266.379          2274.196          2280.053          2283.116          2285.763         0.914 0.22.h_tag.vav-dh_2vrw_relaxed_0001693
SCORE:   -1526.541      15.699      15.699             -3.115            -22.851             -2.282      -19.971                 -1.994       662.231  1001.533     339.301             1.000     0.000     0.000        -761.563                5.000                 1.000                5.000                     7.000                             7.000                                 10.000                               1001.533                              -3100.462                                615.717                               -943.225        5.847             103.829             358.080            1845.506            0.087     -80.863     -53.159     -86.932    -261.586      2.000     -68.902      14.000      10.000    -839.820    -898.997    -738.031    -758.003    -761.563     490.000      44.000      42.169     -88.566       0.525                 -2.801     3.320      51.698     130.242       0.000           -2.875     -54.617           -2.745     -68.633       0.000          3219.141          3222.183          3225.421          3236.574          3246.257          3256.249          3262.892          3270.513         0.746 0.22.h_tag.vav-dh_2vrw_relaxed_0002066
SCORE:   -1526.917       5.394       5.394             -3.116            -14.203             -2.958      -13.895                 -2.894       199.205   480.146     280.941             0.000     0.000     0.000        -810.351                4.000                 0.000                0.000                     1.000                             0.000                                  1.000                                480.146                              -3105.730                                619.399                               -958.325        5.900             103.637             359.082            1878.898            0.350     -88.675     -52.399     -93.920    -263.730      3.000     -68.140      17.000       2.000    -642.389    -690.639    -765.151    -774.983    -810.351     490.000      20.000      44.526     -88.354       0.619                 -2.318     3.048      51.170     125.970       0.000           -2.112     -19.007           -2.487     -27.361       3.000           582.053           583.227           584.233           592.637           599.794           604.475           607.757           611.083         0.726 0.22.h_tag.vav-dh_2vrw_relaxed_0000680
