SCORE: total_score         rms     cen_rms complex_normalized           dG_cross dG_cross/dSASAx100 dG_separated dG_separated/dSASAx100 dSASA_hphobic dSASA_int dSASA_polar delta_unsatHbonds dslf_fa13  f_b-site f_combined-copy f_combined_buns-copy f_combined_buns2-copy f_contact-designable f_contact-designable_copy f_contact-hphobic_with_designable f_contact-hphobic_with_designable_copy                                 f_sasa                                 fa_atr                                 fa_dun                                fa_elec fa_intra_rep fa_intra_sol_xover4              fa_rep              fa_sol hbond_E_fraction hbond_bb_sc hbond_lr_bb    hbond_sc hbond_sr_bb hbonds_int lk_ball_wtd          m1          m2          m3          m4          m5          m6          m7    nres_all    nres_int       omega     p_aa_pp    packstat per_residue_energy_int pro_close rama_prepro         ref    sc_value side1_normalized side1_score side2_normalized side2_score     st_rmsd t1_timing_profile t2_timing_profile t3_timing_profile t4_timing_profile t5_timing_profile t6_timing_profile t7_timing_profile t8_timing_profile yhh_planarity description 
SCORE:   -1074.281      29.128      29.128             -2.192            -37.158             -1.965      -27.070                 -1.432      1201.487  1890.509     689.022            13.000     0.000     0.000        -594.719                4.000                 3.000                4.000                     7.000                             8.000                                  9.000                               1890.509                              -2617.534                                599.442                               -806.768        5.878             105.481             298.067            1710.660            0.231     -52.287     -30.068     -73.196    -269.648      4.000     -78.755      13.000      11.000    -796.106    -806.980  331249.719    -491.982    -594.719     490.000      77.000      38.325     -90.702       0.638                 -1.736     2.556      53.258     130.583       0.000           -2.039     -79.510           -1.425     -54.155      31.000            98.535            98.891            99.344           110.808           121.822           149.499           163.334           170.305         0.428 0.22.h_tag.vav-dh_2vrw_relaxed_0000168
SCORE:    1077.981       9.845       9.845              2.200            -51.092             -2.551      -37.617                 -1.878      1222.352  2003.066     780.715             6.000     0.000 97108.930          39.823                4.000                 2.000                4.000                     9.000                             4.000                                 10.000                               2003.066                              -2648.151                                612.458                               -746.453        6.218             104.073            2373.509            1715.139            0.230     -58.503     -26.014     -56.178    -264.631      7.000     -80.157       9.000      11.000    -701.204    -780.708  124697.844    -530.482      39.823     490.000      79.000      49.437     -95.016       0.587                 -2.018     3.591      48.777     139.405       0.000           -2.515     -93.058           -1.581     -66.394       7.000            30.467            30.770            31.022            43.528            55.182            83.247            87.401            92.276         0.476 0.22.h_tag.vav-dh_2vrw_relaxed_0000154
SCORE:   -1094.652       9.162       9.162             -2.234            -12.952             -1.758      -10.058                 -1.365       390.395   736.697     346.302             0.000     0.000     0.000        -522.239                2.000                 0.000                1.000                     6.000                             2.000                                 10.000                                736.697                              -2695.006                                625.296                               -762.639        5.834             103.889             318.881            1672.729            0.371     -62.566     -28.966     -67.291    -266.436      4.000     -79.215       9.000      10.000    -723.564    -745.431    6160.463    -515.248    -522.239     490.000      29.000      40.966     -94.105       0.603                 -2.313     3.441      58.857     131.152       0.000           -2.381     -35.716           -2.241     -31.374       6.000           449.758           450.884           452.011           463.599           473.286           497.605           501.312           504.431         0.526 0.22.h_tag.vav-dh_2vrw_relaxed_0000621
SCORE:   -1098.025      24.133      24.133             -2.241            -47.797             -3.057      -42.021                 -2.688       956.703  1563.494     606.791             5.000     0.000     0.000        -772.074                4.000                 1.000                3.000                     5.000                             4.000                                  7.000                               1563.494                              -2680.046                                598.543                               -772.003        5.817             101.966             309.150            1694.555            0.250     -45.877     -39.325     -65.934    -267.667      9.000     -76.638      18.000       9.000    -811.164    -835.025    5239.104    -699.005    -772.074     490.000      65.000      39.970     -97.470       0.515                 -2.393     6.007      47.755     142.473       0.000           -2.632     -78.949           -2.188     -76.575      24.000           856.270           857.733           859.251           869.634           879.156           908.078           911.151           915.084         0.698 0.22.h_tag.vav-dh_2vrw_relaxed_0000924
SCORE:   -1098.721       4.859       4.859             -2.242            -33.500             -1.860      -30.903                 -1.716      1053.269  1800.905     747.635            14.000     0.000     0.000        -643.151                4.000                 7.000                0.000                     1.000                             0.000                                  2.000                               1800.905                              -2769.160                                635.801                               -795.081        6.040             109.326             329.774            1739.724            0.186     -55.882     -20.852     -71.453    -258.317      4.000     -76.381      10.000       2.000    -734.076    -822.399   17633.418    -638.224    -643.151     490.000      75.000      40.981     -93.202       0.522                 -2.335     3.539      51.082     124.517       0.000           -2.716     -89.612           -2.037     -85.547       9.000          3706.932          3710.414          3714.830          3721.429          3726.682          3753.393          3757.650          3762.109         0.822 0.22.h_tag.vav-dh_2vrw_relaxed_0002148
SCORE:   -1101.497      38.923      38.923             -2.248            -22.460             -1.703      -17.623                 -1.336       678.244  1318.625     640.381             2.000     0.000 87618.570        -554.905                2.000                 1.000                1.000                     4.000                             1.000                                  5.000                               1318.625                              -2699.343                                600.140                               -743.008        5.896             103.167             309.828            1683.093            0.358     -51.808     -24.020     -58.999    -265.904      6.000     -85.349      14.000       5.000    -685.801    -761.362    -541.272    -563.855    -554.905     490.000      52.000      45.702    -101.799       0.524                 -1.849     2.827      53.620     123.510       0.000           -1.806     -45.158           -1.889     -51.005      40.000          1379.684          1381.410          1383.179          1391.166          1397.201          1414.975          1418.212          1422.173         0.949 0.22.h_tag.vav-dh_2vrw_relaxed_0001219
SCORE:   -1106.431       8.519       8.519             -2.258            -19.612             -1.983      -12.947                 -1.309       644.393   989.228     344.836             0.000     0.000     0.000        -533.975                2.000                 3.000                0.000                     1.000                             0.000                                  2.000                                989.228                              -2735.782                                625.500                               -771.522        6.222             106.924             315.859            1706.450            0.371     -52.017     -31.151     -64.579    -262.033      3.000     -81.385      18.000       3.000    -724.814    -721.713    -441.029    -541.397    -533.975     490.000      39.000      41.578     -94.748       0.619                 -2.249     3.314      47.042     133.324       0.000           -2.460     -54.118           -1.977     -33.602       3.000           540.824           541.988           543.063           549.482           554.927           573.050           576.451           580.131         0.572 0.22.h_tag.vav-dh_2vrw_relaxed_0000792
SCORE:   -1110.304      11.022      11.022             -2.266            -48.471             -2.918      -36.229                 -2.181      1092.106  1661.203     569.097             7.000     0.000     0.000        -708.839                8.000                 3.000                0.000                     5.000                             0.000                                  8.000                               1661.203                              -2742.463                                624.670                               -778.533        5.856             102.013             316.645            1717.359            0.212     -60.345     -24.262     -62.710    -266.230      5.000     -78.611       5.000      10.000    -843.460    -865.441  180646.953    -685.875    -708.839     490.000      56.000      40.951     -92.475       0.573                 -2.454     3.822      44.343     139.079       0.000           -2.703     -78.374           -2.187     -59.041       2.000          1469.648          1471.586          1473.747          1485.235          1495.667          1517.055          1521.344          1525.285         0.585 0.22.h_tag.vav-dh_2vrw_relaxed_0001305
SCORE:   -1114.843      21.297      21.297             -2.275            -37.969             -2.088      -34.425                 -1.893      1175.412  1818.165     642.753             1.000     0.000   378.069        -678.576                5.000                 0.000                4.000                    10.000                             5.000                                 14.000                               1818.165                              -2703.407                                593.136                               -780.017        5.910             100.811             308.884            1698.100            0.117     -51.163     -26.516     -67.231    -262.318      5.000     -76.821      10.000      16.000    -805.258    -805.223    -525.406    -669.435    -678.576     490.000      66.000      38.779     -93.698       0.508                 -2.412     3.406      53.659     142.390       0.000           -2.833     -93.476           -1.991     -65.697      19.000            15.672            15.935            16.214            31.078            45.249            68.954            74.673            81.105         1.251 0.22.h_tag.vav-dh_2vrw_relaxed_0000089
SCORE:   -1119.149      12.800      12.800             -2.284            -39.077             -2.506      -34.671                 -2.224       779.756  1559.123     779.367             6.000     0.000     0.000        -708.607                4.000                 2.000                2.000                    16.000                             2.000                                 24.000                               1559.123                              -2760.077                                625.918                               -801.352        5.958             103.491             326.866            1724.409            0.301     -69.531     -39.559     -60.363    -265.720      9.000     -68.799       7.000      25.000    -850.668    -955.804    -222.883    -585.548    -708.607     490.000      62.000      40.074     -84.409       0.593                 -2.061     4.756      64.847     133.615       0.000           -2.576     -79.843           -1.547     -47.956      17.000          2715.137          2717.826          2721.046          2742.155          2763.606          2789.719          2793.458          2797.361         0.727 0.22.h_tag.vav-dh_2vrw_relaxed_0001782
